race_id,date,jcd,venue,race_no,waku,reg_no,player_name,branch,age,grade,motor_no,boat_no,rank,result_time,course,st,payout,weather
202301010601,2023-01-01,06,浜名湖,1,1,4,4,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥1,560 2 3連複 1 = 3 = 4 ¥740 5 2連単 1 - 3 ¥560 1 2連複 1 = 3 ¥320 1 拡連複 1 = 3 ¥100 1 1 = 4 ¥230 5 3 = 4 ¥200 3 単勝 1 ¥110 複勝 1 ¥140 3 ¥330",水面気象情報 気温 9.0℃ 晴 風速 2m 水温 8.0℃ 波高 1cm スタンド
202301010601,2023-01-01,06,浜名湖,1,2,5,5,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥1,560 2 3連複 1 = 3 = 4 ¥740 5 2連単 1 - 3 ¥560 1 2連複 1 = 3 ¥320 1 拡連複 1 = 3 ¥100 1 1 = 4 ¥230 5 3 = 4 ¥200 3 単勝 1 ¥110 複勝 1 ¥140 3 ¥330",水面気象情報 気温 9.0℃ 晴 風速 2m 水温 8.0℃ 波高 1cm スタンド
202301010601,2023-01-01,06,浜名湖,1,3,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥1,560 2 3連複 1 = 3 = 4 ¥740 5 2連単 1 - 3 ¥560 1 2連複 1 = 3 ¥320 1 拡連複 1 = 3 ¥100 1 1 = 4 ¥230 5 3 = 4 ¥200 3 単勝 1 ¥110 複勝 1 ¥140 3 ¥330",水面気象情報 気温 9.0℃ 晴 風速 2m 水温 8.0℃ 波高 1cm スタンド
202301010601,2023-01-01,06,浜名湖,1,4,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥1,560 2 3連複 1 = 3 = 4 ¥740 5 2連単 1 - 3 ¥560 1 2連複 1 = 3 ¥320 1 拡連複 1 = 3 ¥100 1 1 = 4 ¥230 5 3 = 4 ¥200 3 単勝 1 ¥110 複勝 1 ¥140 3 ¥330",水面気象情報 気温 9.0℃ 晴 風速 2m 水温 8.0℃ 波高 1cm スタンド
202301010601,2023-01-01,06,浜名湖,1,5,1,1,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥1,560 2 3連複 1 = 3 = 4 ¥740 5 2連単 1 - 3 ¥560 1 2連複 1 = 3 ¥320 1 拡連複 1 = 3 ¥100 1 1 = 4 ¥230 5 3 = 4 ¥200 3 単勝 1 ¥110 複勝 1 ¥140 3 ¥330",水面気象情報 気温 9.0℃ 晴 風速 2m 水温 8.0℃ 波高 1cm スタンド
202301010601,2023-01-01,06,浜名湖,1,6,6,6,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥1,560 2 3連複 1 = 3 = 4 ¥740 5 2連単 1 - 3 ¥560 1 2連複 1 = 3 ¥320 1 拡連複 1 = 3 ¥100 1 1 = 4 ¥230 5 3 = 4 ¥200 3 単勝 1 ¥110 複勝 1 ¥140 3 ¥330",水面気象情報 気温 9.0℃ 晴 風速 2m 水温 8.0℃ 波高 1cm スタンド
202301010602,2023-01-01,06,浜名湖,2,1,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥5,400 26 3連複 1 = 3 = 4 ¥2,250 8 2連単 1 - 3 ¥2,100 10 2連複 1 = 3 ¥1,540 7 拡連複 1 = 3 ¥700 8 1 = 4 ¥100 1 3 = 4 ¥960 10 単勝 1 ¥260 複勝 1 ¥180 3 ¥840",水面気象情報 気温 9.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010602,2023-01-01,06,浜名湖,2,2,4,4,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥5,400 26 3連複 1 = 3 = 4 ¥2,250 8 2連単 1 - 3 ¥2,100 10 2連複 1 = 3 ¥1,540 7 拡連複 1 = 3 ¥700 8 1 = 4 ¥100 1 3 = 4 ¥960 10 単勝 1 ¥260 複勝 1 ¥180 3 ¥840",水面気象情報 気温 9.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010602,2023-01-01,06,浜名湖,2,3,2,2,5,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥5,400 26 3連複 1 = 3 = 4 ¥2,250 8 2連単 1 - 3 ¥2,100 10 2連複 1 = 3 ¥1,540 7 拡連複 1 = 3 ¥700 8 1 = 4 ¥100 1 3 = 4 ¥960 10 単勝 1 ¥260 複勝 1 ¥180 3 ¥840",水面気象情報 気温 9.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010602,2023-01-01,06,浜名湖,2,4,1,1,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 3 - 4 ¥5,400 26 3連複 1 = 3 = 4 ¥2,250 8 2連単 1 - 3 ¥2,100 10 2連複 1 = 3 ¥1,540 7 拡連複 1 = 3 ¥700 8 1 = 4 ¥100 1 3 = 4 ¥960 10 単勝 1 ¥260 複勝 1 ¥180 3 ¥840",水面気象情報 気温 9.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
